Program Name,Acronym,Agency Owner,BD Priority,Clearance Requirements,Confidence Level,Contract Value,Contract Vehicle,Key Locations,Keywords/Signals,Known Subcontractors,PTS Involvement,Period of Performance,Prime Contractor Name,Program Type,Recompete Date,Source Evidence,Typical Roles,Contract Number,Acronym_contract,Match Confidence,Match Score,Tech Stack (Basic),Functional Areas,Job Titles,Contract Start Date (Tango),Current End Date (Tango),Ultimate End Date (Tango),Base + Options Value (Tango),Total Obligated (Tango),Performance Location (Tango),Tango NAICS Code,Tango PSC Code,Recipient UEI (Tango),Recipient Name (Tango),Awarding Office (Tango),Set Aside (Tango),Contract Signed Date (Tango),NAICS Description,PSC Description,Labor Rate Min,Labor Rate Max,Labor Rate Average,Education Requirement,Experience Requirement,Annual Salary Range,CALC API Status
J6 Enterprise Technology Services 2.0,DLA JETS 2.0,DoD,High,"Secret, Top Secret",High,$6B,IDIQ,CONUS + OCONUS,“JETS 2.0… cloud hosting… cyber security”,"TekSynap (awardee), others",nan,"January 1, 2024 → January 1, 2029",Multiple (IDIQ MA pool),Cyber,nan,electrosoft-inc.com citation,Network & telecom services; cyber security; PM; cloud hosting,nan,nan,nan,nan,Cloud; Cybersecurity,,Network & telecom services; cyber security; PM; cloud hosting,,,,,,,,,,,,,,,,,,,,,,No Match
JGLASS II – Shared Services,JGLASS II,DHS,Medium,Public Trust,Medium,nan,Services,NCR,“Shared services”,nan,nan,nan,Peraton / SAIC (indicative),IT Ops,nan,Provided,Enterprise shared services; IT admin,GST0011AJ0025,JGLASS II,Medium,2.0,,,Enterprise shared services; IT admin,2011-02-02,2018-05-02,2018-05-02,"$87,543,399.00","$609,128,623.96","MC LEAN, VIRGINIA",541512,R499,JER6HDF9APP1,NORTHROP GRUMMAN INFORMATION TECHNOLOGY INC, (),NONE,2011-02-02,Computer Systems Design Services,,,,,,,,No Match
Joint Staff J7 Support,JS J7,DoD,nan,"Secret, TS/SCI",High,$50M,nan,Suffolk VA; Quantico VA; Ft Leavenworth,“Joint Training; LVC; Wargaming”,SAIC; Leidos; GDIT,nan,nan,HII,C5ISR,nan,J7 TO descriptions,LVC integrators; red-cell analysts; M&S engineers; ISSO,19AQMM18C0185,JS J7,Low,0.0,AI/ML,,LVC integrators; red-cell analysts; M&S engineers; ISSO,2019-06-19,2029-08-07,2029-08-07,"$2,075,898,749.00","$1,495,085,754.52","SPRINGFIELD, VIRGINIA",541614,R706,SMNWM6HN79X5,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",ACQUISITIONS - AQM MOMENTUM (Department of State),NONE,2018-09-05,"Process, Physical Distribution, and Logistics Consulting Services",,,,,,,,No Match
Joint Tactical Ground Station Early Warning,JTAGS,Army,nan,"Secret, TS/SCI",High,nan,nan,Colorado Springs; Germany; Redondo Beach,“JTAGS early missile warning; IR satellite”,Prime TS; others,nan,nan,Northrop (prime/sub),C5ISR,nan,Provided,SW engineers; SIGINT analysts; logistics continuity,N0001918C1037,JTAGS,Medium,2.0,,,SW engineers; SIGINT analysts; logistics continuity,2018-02-15,2030-02-01,2030-02-01,"$99,771,416.00","$8,447,894,780.67","MELBOURNE, FLORIDA",336411,1510,PK8PM2GNVMP8,NORTHROP GRUMMAN SYSTEMS CORPORATION,NAVAL AIR SYSTEMS COMMAND (Department of the Navy),NONE,2018-02-22,Aircraft Manufacturing,,,,,,,,No Match
Joint Tactical Ground Stations,JTAGS,Space Force,nan,TS/SCI,High,Multi-$M,nan,Colorado Springs CO; Germany,“missile warning; JTAGS”,General Dynamics,nan,nan,Northrop Grumman,Intel,nan,“Northrop Programs Supported by Prime”,SW engineers; SIGINT SMEs,FA821920C0006,JTAGS,Medium,1.0,,,SW engineers; SIGINT SMEs,2020-09-08,2029-03-10,2029-03-10,"$13,293,562,839.00","$10,801,259,923.19","ROY, UTAH",336414,AC24,D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,FA8219   AFNWC PZBG (Department of the Air Force),NONE,2020-09-08,Guided Missile and Space Vehicle Manufacturing,True,,,,,,,No Match
Joint Warfighting Cloud Capability,JWCC,DoD,High,"Secret, TS/SCI",High,$9B,IDIQ,DoD/IC sites,“JWCC… $9B… four cloud vendors”,Integrators & cloud partners,Target,"January 1, 2022 → January 1, 2027",AWS; Microsoft; Google; Oracle,IT Ops,nan,JWCC summary lines,Cloud migration; platform engineering; zero-trust integration,W91CRB20F0448,JWCC,High,5.0,Cloud,,Cloud migration; platform engineering; zero-trust integration,2020-09-01,2024-05-31,2024-05-31,"$100,848,074.34","$290,537,976.81","ABERDEEN PROVING GROUND, MARYLAND",541330,R425,H2RGSKWXKHQ5,"AMENTUM TECHNOLOGY, INC.",W6QK ACC-APG (Department of the Army),None,2020-08-31,Engineering Services,,,,,,,,No Match
JSP Enterprise IT,JSP,DoD,nan,TS/SCI,High,$190M,nan,Pentagon / NCR,"“22,000 users… transition to DISA GSD model”",PTS (prospective),nan,nan,CACI,IT Ops,nan,JSP BD capture notes,Classified helpdesk; VTC; desktop support,47QFRA19F0011,JSP,Medium,1.0,,,Classified helpdesk; VTC; desktop support,2019-05-08,2024-04-30,2024-04-30,"$132,392,495.00","$708,253,079.87","ARLINGTON, VIRGINIA",541512,7010,N3PBJAVNKF61,"CACI, INC. - FEDERAL",GSA FAS AAS REGION 8 (Federal Acquisition Service),None,2019-05-03,Computer Systems Design Services,,,,,,,,No Match
JSP ETM (Pentagon IT),JSP ETM,DoD,nan,"Secret, TS/SCI",High,$190M,nan,Pentagon / NCR,“JSP IT… CACI incumbent”,Multiple SBs,nan,nan,CACI,IT Ops,nan,Provided,Helpdesk; classified VTC; classified desktop support,GSQ0017AJ0006,JSP ETM,Low,0.0,,,Helpdesk; classified VTC; classified desktop support,2016-10-28,2022-02-28,2022-02-28,"$696,872,474.00","$960,038,373.03","RESTON, VIRGINIA",541712,B538,N3PBJAVNKF61,"CACI, INC. - FEDERAL",GSA FAS AAS FEDSIM (Federal Acquisition Service),NONE,2016-10-28,"Research and Development in the Physical, Engineering, and Life Sciences (except Biotechnology)",,,,,,,,No Match
Justified (SAP Security),Justified,Air Force,nan,TS/SCI,Medium,nan,nan,Hanscom AFB; JBAB DC,“Justified… SAP… Hanscom… JBAB”,Prime TS (past performance),nan,nan,SAIC (inferred),nan,nan,Provided,SAP admins; ISSO; SAP security leads,FA877319FA023,Justified,Medium,1.0,,,SAP admins; ISSO; SAP security leads,2019-04-28,2025-11-27,2026-07-27,"$25,546,891.00","$40,554,571.08","SAN ANTONIO, TEXAS",541330,R425,K3XCTTC4VDR5,MOSAIC TECHNOLOGIES GROUP LLC,FA8773 ACC 38 CONS (Department of the Air Force),None,2019-03-07,Engineering Services,,,,,,,,No Match
Justified SAP Security Contract,needs-scrape,Air Force,nan,Top Secret,Medium,nan,nan,Hanscom AFB; JBAB DC,“SAP security”; “Hanscom”; “JBAB”,needs-scrape,nan,nan,needs-scrape,Cyber,nan,Provided,Program security; ISSO roles,nan,nan,nan,nan,Cybersecurity,,Program security; ISSO roles,,,,,,,,,,,,,,,,,,,,,,No Match
Justified SAP Security Contract (Hanscom/Bolling),needs-scrape,Air Force,nan,TS/SCI,Medium,nan,nan,Hanscom AFB; JBAB DC,"“SAP”, “Security”, “Hanscom”, “Bolling”",SAIC,nan,nan,Booz Allen Hamilton,Cyber,nan,Hiring trend heatmap,SAP Security Engineer; ISSO; ISSM,47QFCA21F0018,needs-scrape,Low,0.0,Cybersecurity,,SAP Security Engineer; ISSO; ISSM,2021-03-09,2025-02-15,2025-05-15,"$103,358,865.00","$1,379,533,153.12","WASHINGTON, DISTRICT OF COLUMBIA",541512,DA01,JCBMLGPE6Z71,BOOZ ALLEN HAMILTON INC,GSA FAS AAS FEDSIM (Federal Acquisition Service),None,2021-03-09,Computer Systems Design Services,,,,,,,,No Match
JWCC – ATAT Expansion Path,JWCC,DISA,Medium,TS/SCI,Medium,$9B,IDIQ,Global DoD; CCPO,“CCPO expanding scope to integrate JWCC into ATAT”,Five Star (potential support),nan,"January 1, 2023 → January 1, 2028",AWS; Microsoft; Google; Oracle,IT Ops,nan,Provided text,Cloud integration leads; policy enforcement; multi-cloud operations,W91CRB20F0448,JWCC,High,4.0,,,Cloud integration leads; policy enforcement; multi-cloud operations,2020-09-01,2024-05-31,2024-05-31,"$100,848,074.34","$290,537,976.81","ABERDEEN PROVING GROUND, MARYLAND",541330,R425,H2RGSKWXKHQ5,"AMENTUM TECHNOLOGY, INC.",W6QK ACC-APG (Department of the Army),None,2020-08-31,Engineering Services,,,,,,,,No Match
Kennedy Space Center BOSS,KSC BOSS,NASA,nan,"Public Trust, Secret",Medium,nan,nan,Kennedy Space Center FL,“Base ops support”,Multiple,nan,nan,Jacobs / Amentum (past),IT Ops,nan,Provided,Facility operations; IT ops,NNK13MA14C,KSC BOSS,High,5.0,,,Facility operations; IT ops,2013-03-01,2023-04-30,2023-04-30,"$868,381,267.38","$2,099,373,524.58","ORLANDO, FLORIDA",541712,AR36,H2RGSKWXKHQ5,"AMENTUM TECHNOLOGY, INC.", (),NONE,2012-12-17,"Research and Development in the Physical, Engineering, and Life Sciences (except Biotechnology)",True,,,,,,,No Match
LANL/NNSA VTC Engineering Support,LANL VTC,NSA,nan,Top Secret,High,nan,nan,Los Alamos NM,“LANL… Q clearance… TEKsystems listing”,TEKsystems,nan,nan,GDIT,IT Ops,nan,Verified job postings,VTC engineers; AV technicians; unified comms,19AQMM18C0185,LANL VTC,Medium,2.0,,,VTC engineers; AV technicians; unified comms,2019-06-19,2029-08-07,2029-08-07,"$2,075,898,749.00","$1,495,085,754.52","SPRINGFIELD, VIRGINIA",541614,R706,SMNWM6HN79X5,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",ACQUISITIONS - AQM MOMENTUM (Department of State),NONE,2018-09-05,"Process, Physical Distribution, and Logistics Consulting Services",,,,,,,,No Match
LANL/NNSA VTC Support,nan,NSA,nan,Top Secret,High,nan,nan,Los Alamos NM,“LANL… Q clearance… GDIT + TEKsystems listing”,TEKsystems,nan,nan,GDIT,IT Ops,nan,Verified job references,VTC engineer; unified comms; AV/telepresence,19AQMM18C0185,nan,Medium,2.0,,,VTC engineer; unified comms; AV/telepresence,2019-06-19,2029-08-07,2029-08-07,"$2,075,898,749.00","$1,495,085,754.52","SPRINGFIELD, VIRGINIA",541614,R706,SMNWM6HN79X5,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",ACQUISITIONS - AQM MOMENTUM (Department of State),NONE,2018-09-05,"Process, Physical Distribution, and Logistics Consulting Services",,,,,,,,No Match
LATERALUS (IC Space ISR),LATERALUS,NSA,nan,TS/SCI w/ Poly,High,$100M,nan,CO / NoVA SCIFs,“Space ISR… classified… Raytheon prime”,nan,nan,nan,Raytheon,Intel,nan,Provided,Satellite ops engineers; intel analysts; O&M staff,N0001918C1021,LATERALUS,Low,0.0,,,Satellite ops engineers; intel analysts; O&M staff,2018-03-23,2024-12-30,2024-12-30,"$33,901,159.56","$8,688,654,906.89","EAST HARTFORD, CONNECTICUT",336412,2840,QN1BCFY7JDJ5,RTX CORPORATION,NAVAL AIR SYSTEMS COMMAND (Department of the Navy),NONE,2018-03-23,Aircraft Engine and Engine Parts Manufacturing,,,,,,,,No Match
LATERALUS (Space ISR),LATERALUS,NSA,nan,TS/SCI w/ Poly,Medium,nan,nan,CO / NoVA,“Space ISR ground ops”,Leidos; CACI; Parsons (indicative),nan,nan,Raytheon,Intel,nan,Provided,O&M staff; sysadmins; intel exploitation analysts,N0001918C1021,LATERALUS,Low,0.0,,,O&M staff; sysadmins; intel exploitation analysts,2018-03-23,2024-12-30,2024-12-30,"$33,901,159.56","$8,688,654,906.89","EAST HARTFORD, CONNECTICUT",336412,2840,QN1BCFY7JDJ5,RTX CORPORATION,NAVAL AIR SYSTEMS COMMAND (Department of the Navy),NONE,2018-03-23,Aircraft Engine and Engine Parts Manufacturing,,,,,,,,No Match
LOGCAP V,LOGCAP V,Army,nan,"Public Trust, Secret",Medium,$82B,nan,Global theaters,“LOGCAP V… global subcontractor networks”,Large sub-networks globally,nan,nan,KBR; V2X; Fluor; Amentum,Logistics,nan,Provided,Base ops; supply; transportation; life support,W52P1J19F0394,LOGCAP V,High,6.0,,Network Administration,Base ops; supply; transportation; life support,2019-04-12,2026-03-29,2026-03-29,"$4,709,183.80","$2,188,134,177.76",,561210,R706,YSQMHRS4HSC5,"KELLOGG BROWN & ROOT SERVICES, INC.",W4MM USA JOINT MUNITIONS CMD (Department of the Army),None,2019-04-12,Facilities Support Services,,,,,,,,No Match
Logistics Civil Augmentation Program V (duplicate entry),LOGCAP V,Army,nan,"Public Trust, Secret",Medium,$82B,nan,Global,“LOGCAP V… global subcontractor networks”,Large local networks,nan,nan,KBR; V2X; Fluor; Amentum,Logistics,nan,Provided,Base ops; supply; facilities,W52P1J19F0394,LOGCAP V,High,8.0,,Network Administration,Base ops; supply; facilities,2019-04-12,2026-03-29,2026-03-29,"$4,709,183.80","$2,188,134,177.76",,561210,R706,YSQMHRS4HSC5,"KELLOGG BROWN & ROOT SERVICES, INC.",W4MM USA JOINT MUNITIONS CMD (Department of the Army),None,2019-04-12,Facilities Support Services,,,,,,,,No Match
LRAAM (Long Range AAM),LRAAM,Air Force,Medium,Secret,Medium,nan,R&D,Tucson AZ,“Long-range AAM”,Northrop,Target,nan,Raytheon (indicative),Weapon Systems,nan,Row text,AAM engineers; missile systems developers,FA861108C2896,LRAAM,Medium,2.0,,,AAM engineers; missile systems developers,2008-01-01,2022-05-31,2022-05-31,"$215,831,373.00","$3,648,685,783.01","EAST HARTFORD, CONNECTICUT",488190,J028,QN1BCFY7JDJ5,RTX CORPORATION,FA8611 AFLCMC WAUK F22 (Department of the Air Force),NONE,2008-02-19,Other Support Activities for Air Transportation,,,,,,,,No Match
Managed IT Services (USTRANSCOM),MITS,DoD,nan,"Secret, Top Secret",Medium,$150M,nan,Scott AFB IL,“Enterprise IT; USTRANSCOM”,TEKsystems; Apex (indicative),nan,nan,SAIC,IT Ops,nan,Provided,Service desk; admins; cyber analysts,FA251822F0034,MITS,Medium,1.0,,,Service desk; admins; cyber analysts,2022-06-27,2026-06-28,2027-06-28,"$694,278.73","$2,893,647.82","COLORADO SPRINGS, COLORADO",541512,R425,EMX1P81U9GG5,"APOGEE-SAIC CAPABILITIES INTEGRATOR, LLC",FA2518  USSF SPOC/SAIO (Department of the Air Force),8A,2022-06-27,Computer Systems Design Services,,,,,,,,No Match
Marine Corps Enterprise Network,MCEN,Marines,nan,Secret,Medium,nan,nan,Marine bases,“USMC network”,nan,nan,nan,Leidos / GDIT,IT Ops,nan,Provided,NetOps; cyber; enterprise IT technicians,19AQMM18C0185,MCEN,Low,0.0,,Network Administration,NetOps; cyber; enterprise IT technicians,2019-06-19,2029-08-07,2029-08-07,"$2,075,898,749.00","$1,495,085,754.52","SPRINGFIELD, VIRGINIA",541614,R706,SMNWM6HN79X5,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",ACQUISITIONS - AQM MOMENTUM (Department of State),NONE,2018-09-05,"Process, Physical Distribution, and Logistics Consulting Services",,,,,,,,No Match
Mark 48 Heavyweight Torpedo,Mk-48,Navy,nan,Secret,Low,nan,nan,Middletown RI; Navy weapons centers,“Mark-48 Torpedo”,nan,nan,nan,Raytheon (indicative),Weapon Systems,nan,Provided,Systems/seeker engineering; test; manufacturing,N0002422C5500,Mk-48,Medium,2.0,,,Systems/seeker engineering; test; manufacturing,2022-03-31,2028-09-30,2028-09-30,"$650,746,530.00","$3,265,910,249.19","ANDOVER, MASSACHUSETTS",334511,5840,YD6LTFVUZNG1,RAYTHEON COMPANY,NAVSEA HQ (Department of the Navy),NONE,2022-03-31,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",,,,,,,,No Match
Mark-48 Torpedo (sub-program reference),Mark-48,Navy,Medium,Secret,Medium,nan,Program,NSWC Crane; NSWC Newport; Middletown RI,“Mark-48 Torpedo…”,nan,nan,nan,Raytheon (indicative),Weapon Systems,nan,High,Torpedo assembly; electronics,N0002422C5500,Mark-48,Medium,2.0,,,Torpedo assembly; electronics,2022-03-31,2028-09-30,2028-09-30,"$650,746,530.00","$3,265,910,249.19","ANDOVER, MASSACHUSETTS",334511,5840,YD6LTFVUZNG1,RAYTHEON COMPANY,NAVSEA HQ (Department of the Navy),NONE,2022-03-31,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",,,,,,,,No Match
MDA Tactical Embedded Systems,nan,MDA,Medium,Secret,Medium,nan,Program,"Redstone Arsenal, Huntsville AL",“Insight Global job HSV-795802… tactical embedded SW… MDA domain”,Insight Global,Target,nan,Northrop Grumman,Weapon Systems,nan,High,Embedded SW engineers; C++; tactical missile SW,HQ085621C0003,nan,Medium,2.0,AI/ML,,Embedded SW engineers; C++; tactical missile SW,2021-03-25,2028-12-31,2028-12-31,"$2,629,667,873.00","$2,395,436,919.18","CHANDLER, ARIZONA",541715,AC13,F9PAEKAAXGB6,NORTHROP GRUMMAN SYSTEMS CORPORATION,MISSILE DEFENSE AGENCY (MDA) (Missile Defense Agency),NONE,2021-03-24,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",True,,,,,,,No Match
MHS GENESIS (DHMSM),DHMSM,DoD,nan,Secret,Medium,$4.3B,nan,NCR; San Antonio; Remote,"“MHS GENESIS, DHA, Electronic Health Record”",Cerner; Accenture Federal,nan,nan,Leidos,Health IT,nan,Provided text,Clinical trainer; IT support; workflow analyst; EHR migration,HHSN261200800001E,DHMSM,Low,0.0,,,Clinical trainer; IT support; workflow analyst; EHR migration,2008-09-26,2024-09-06,2024-09-06,"$1,321,327,661.00","$4,813,063,024.90","FREDERICK, MARYLAND",561210,M181,HV8BH9BPG8Y9,LEIDOS BIOMEDICAL RESEARCH INC, (),NONE,2008-09-24,Facilities Support Services,,,,,,,,No Match
MHS GENESIS / Leidos Partnership for Defense Health,LPDH,DoD,nan,"Public Trust, Secret",Medium,nan,nan,MHS sites CONUS / OCONUS,“Training and go-live support; clinical IT support”,nan,nan,nan,Leidos,IT Ops,nan,Provided,Clinical help desk; applications support; site support technicians,HHSN261200800001E,LPDH,Low,0.0,AI/ML,IT Operations,Clinical help desk; applications support; site support technicians,2008-09-26,2024-09-06,2024-09-06,"$1,321,327,661.00","$4,813,063,024.90","FREDERICK, MARYLAND",561210,M181,HV8BH9BPG8Y9,LEIDOS BIOMEDICAL RESEARCH INC, (),NONE,2008-09-24,Facilities Support Services,,,,,,,,No Match
Mission Partner Environment,MPE,DoD,nan,"Secret, TS/SCI",High,$5.6B,nan,Global coalition sites,“MPE replacing BICES; $5.6B; Capgemini team”,Capgemini + 7 BPA partners,nan,nan,GDIT,C5ISR,nan,Provided,Coalition network engineers; CDS admins; field support teams,19AQMM18C0185,MPE,Medium,1.0,,,Coalition network engineers; CDS admins; field support teams,2019-06-19,2029-08-07,2029-08-07,"$2,075,898,749.00","$1,495,085,754.52","SPRINGFIELD, VIRGINIA",541614,R706,SMNWM6HN79X5,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",ACQUISITIONS - AQM MOMENTUM (Department of State),NONE,2018-09-05,"Process, Physical Distribution, and Logistics Consulting Services",,,,,,,,No Match
Mission Partner Environment (Field Ops / MPCO),MPE / MPCO,Air Force,Medium,Secret,Medium,nan,Multi-Year,Secret → TS/SCI,C5ISR / IT Ops,nan,Target,nan,GDIT,Professional Services,nan,Medium,“Global coalition network mission (MPE)”,19AQMM18C0185,MPE / MPCO,Low,0.0,,,“Global coalition network mission (MPE)”,2019-06-19,2029-08-07,2029-08-07,"$2,075,898,749.00","$1,495,085,754.52","SPRINGFIELD, VIRGINIA",541614,R706,SMNWM6HN79X5,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",ACQUISITIONS - AQM MOMENTUM (Department of State),NONE,2018-09-05,"Process, Physical Distribution, and Logistics Consulting Services",,,,,,,,No Match
Mission Partner Environment (successor to BICES),MPE,DoD,nan,"Secret, TS/SCI",High,$5.6B,nan,Global (coalition networks),“MPE replaces BICES… $5.6B… GDIT + Capgemini team”,Capgemini + 7 BPA teammates,nan,nan,GDIT,C5ISR,nan,Successor contract description,Coalition network engineers; CDS administrators; field support teams,19AQMM18C0185,MPE,Medium,2.0,,,Coalition network engineers; CDS administrators; field support teams,2019-06-19,2029-08-07,2029-08-07,"$2,075,898,749.00","$1,495,085,754.52","SPRINGFIELD, VIRGINIA",541614,R706,SMNWM6HN79X5,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",ACQUISITIONS - AQM MOMENTUM (Department of State),NONE,2018-09-05,"Process, Physical Distribution, and Logistics Consulting Services",,,,,,,,No Match
Modular Open Systems Approach,MOSA,Space Force,nan,Secret,Medium,nan,nan,National Harbor MD; US Army programs,“MOSA & Space Industry Summit… OPENSIG”,CACI; SAIC; Northrop,nan,nan,Multiple primes,R&D,nan,Provided,Chief engineers; PMs; open-architecture developers,nan,nan,nan,nan,,,Chief engineers; PMs; open-architecture developers,,,,,,,,,,,,,,,,,,,,,,No Match
MOJAVE / ACADIA,nan,NGA,nan,TS/SCI w/ Poly,Medium,nan,nan,Springfield VA; St. Louis MO,“NGA MOJAVE & ACADIA… TS/SCI + poly”,nan,nan,nan,CACI (indicative),Intel,nan,Provided reference,Cloud engineer; data pipeline; GEOINT analyst,47QFCA20F0010,nan,Medium,1.0,,,Cloud engineer; data pipeline; GEOINT analyst,2019-11-05,2024-09-29,2024-09-29,"$185,582,061.00","$824,303,222.05","CHANTILLY, VIRGINIA",541512,D318,N3PBJAVNKF61,"CACI, INC. - FEDERAL",GSA FAS AAS FEDSIM (Federal Acquisition Service),None,2019-11-05,Computer Systems Design Services,,,,,,,,No Match
MPCO VMOD (Voice Modernization),VMOD,Army,Medium,Secret,Medium,$382M,Task Order,CONUS Army posts,“Voice modernization”,Black Box,nan,"January 1, 2023 → January 1, 2028",CACI (indicative),IT Ops,nan,Provided,Voice engineers; telecom modernization,W15QKN15C0049,VMOD,Medium,2.0,,,Voice engineers; telecom modernization,2015-05-18,2025-06-02,2025-06-02,"$10,842,183.49","$733,720,754.55","CHANTILLY, VIRGINIA",541511,D307,EPPXR2P9KYU6,"CACI-ISS, LLC",W6QK ACC-PICA (Department of the Army),NONE,2015-05-15,Custom Computer Programming Services,,,,,,,,No Match
MSS Smart Systems (Palantir contract),MSS,Army,nan,TS/SCI,Low,nan,nan,Classified CONUS/OCONUS,“Palantir… Smart Systems… classified customer”,nan,nan,nan,Palantir,Intel,nan,Provided,Data engineers; Palantir platform engineers; intel analysts; field support,W911QX24F0113,MSS,High,6.0,,,Data engineers; Palantir platform engineers; intel analysts; field support,2024-09-27,2026-03-31,2026-03-31,"$19,995,987.72","$70,668,314.50","PALO ALTO, CALIFORNIA",541715,AC35,HNN4F9JZWDY8,PALANTIR USG INC,W6QK ACC-APG ADELPHI (Department of the Army),None,2024-09-26,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",True,,,,,,,No Match
Multi-Mission Command & Control,M2C2,MDA,nan,"Secret, TS/SCI",Medium,nan,nan,Aurora CO; Huntsville AL; Colorado Springs CO,“M2C2… C2 development… LM/Raytheon”,nan,nan,nan,Lockheed Martin / Raytheon,C5ISR,nan,Provided,C2 SW dev; embedded SW; Linux; systems engineering,N0001902C3002,M2C2,Medium,1.0,,Software Development,C2 SW dev; embedded SW; Linux; systems engineering,2001-10-26,2022-12-16,2022-12-16,,"$34,132,618,954.26","FORT WORTH, TEXAS",336411,AC15,G4KDGE4JFFK7,LOCKHEED MARTIN CORPORATION, (),NONE,2001-10-26,Aircraft Manufacturing,True,,,,,,,No Match
NARSIL,NARSIL,DoD,nan,Secret,Medium,nan,nan,TS/SCI,Intel / IT Ops,nan,nan,nan,Peraton (indicative),Professional Services,nan,High,“High-value IDIQ… Peraton NARSIL”,47QFCA19F0033,NARSIL,Medium,1.0,,,“High-value IDIQ… Peraton NARSIL”,2019-02-11,2024-02-11,2024-02-11,"$166,965,334.00","$487,767,432.14","FORT GEORGE G MEADE, MARYLAND",541330,R499,CJ38H41QMGA1,PERATON TECHNOLOGY SERVICES INC.,GSA FAS AAS FEDSIM (Federal Acquisition Service),None,2018-12-14,Engineering Services,,,,,,,,No Match
NARSIL – Advanced Research for System Intelligence & Learning,NARSIL,IC,🟠 High,"Polygraph, TS/SCI, TS/SCI w/ Poly",Medium,nan,R&D,NCR; Dayton OH (indicative),“Peraton NARSIL”; “NASIC/IC ML/AI research”,nan,Target,nan,Peraton,Intel,nan,User portfolio references,Data scientists; SW engineers; ML/AI researchers; systems engineers,80GSFC19C0063,NARSIL,Medium,1.0,AI/ML,,Data scientists; SW engineers; ML/AI researchers; systems engineers,2019-10-01,2026-03-31,2026-03-31,"$1,800,000,000.00","$1,414,704,681.90","HERNDON, VIRGINIA",517919,D318,ZBPQEJVECCT4,PERATON INC.,NASA GODDARD SPACE FLIGHT CENTER (National Aeronautics and Space Administration),NONE,2019-06-27,All Other Telecommunications,,,,,,,,No Match
NASA Enterprise Service Support Technology,NESST,NASA,Low,"Public Trust, Secret",Low,nan,Services,NASA centers,“NASA IT”,nan,nan,nan,SAIC / Leidos (indicative),IT Ops,nan,Provided,EUS support; deskside; enterprise IT,NNJ09HD46C,NESST,Medium,2.0,,,EUS support; deskside; enterprise IT,2008-11-07,2018-02-28,2018-02-28,"$667,321,349.00","$1,306,805,321.14","HOUSTON, TEXAS",541712,AR45,NTWCWULE48A8,LOCKHEED MARTIN CORPORATION, (),NONE,2008-11-07,"Research and Development in the Physical, Engineering, and Life Sciences (except Biotechnology)",True,,,,,,,No Match
NASA SENSE (Space Comms & Tracking),SENSE,NASA,nan,Secret,Medium,$1.8B,nan,Near-Earth network (TDRS),“Peraton Awarded $1.8B NASA SENSE”,All Points,nan,nan,Peraton,IT Ops,nan,High,Network ops; RF; sustainment,80GSFC19C0063,SENSE,High,4.0,,,Network ops; RF; sustainment,2019-10-01,2026-03-31,2026-03-31,"$1,800,000,000.00","$1,414,704,681.90","HERNDON, VIRGINIA",517919,D318,ZBPQEJVECCT4,PERATON INC.,NASA GODDARD SPACE FLIGHT CENTER (National Aeronautics and Space Administration),NONE,2019-06-27,All Other Telecommunications,,,,,,,,No Match
NASA SEWP,SEWP,NASA,nan,"Public Trust, Secret",Medium,nan,nan,Nationwide,“SEWP cited as GWAC example”,IT resellers & integrators,nan,nan,Multiple,IT Ops,nan,Provided,Hardware/software procurement; IT services; cloud,nan,nan,nan,nan,,,Hardware/software procurement; IT services; cloud,,,,,,,,,,,,,,,,,,,,,,No Match
NASA Space Network Evolution,SENSE,NASA,nan,Secret,High,$1.8B,nan,NASA SCaN Global,“Near-Earth comms; SENSE; TDRS”,All Points,nan,nan,Peraton,C5ISR,nan,Provided,Satellite comm engineers; network technicians,80GSFC19C0063,SENSE,High,5.0,,,Satellite comm engineers; network technicians,2019-10-01,2026-03-31,2026-03-31,"$1,800,000,000.00","$1,414,704,681.90","HERNDON, VIRGINIA",517919,D318,ZBPQEJVECCT4,PERATON INC.,NASA GODDARD SPACE FLIGHT CENTER (National Aeronautics and Space Administration),NONE,2019-06-27,All Other Telecommunications,,,,,,,,No Match
NASIC Radar Analysis Program,NASIC Radar,Air Force,nan,Top Secret,Medium,nan,nan,Beavercreek OH,“TS Radar Engineer – NASIC – Beavercreek OH”,nan,nan,nan,Ball Aerospace,Intel,nan,Provided,Radar engineers; data analysts,nan,nan,nan,nan,,,Radar engineers; data analysts,,,,,,,,,,,,,,,,,,,,,,No Match
